task_id,title,slice_id,slice_title,kind,prerequisites,required_outcome,packet_path
SA05-T02,"Workflow-run, role-run, and direct action API",SA05,"Session API, read models, events, and fake workflows",task,SA05-T01,Start/pause/resume/cancel workflow; query role hierarchy/docks; checkpoint/cancel route run; return authorized actions from services,compile-at-dispatch
SA05-T03,Typed interactions and owner decisions API,SA05,"Session API, read models, events, and fake workflows",task,SA05-T01,"Create/list/respond to question/approval/auth/blocker/route/plan/force-stop interactions with authority, expiry, safe default and one-time semantics",compile-at-dispatch
SA05-T04,"SSE invalidation, history, artifacts, and terminal binding read models",SA05,"Session API, read models, events, and fake workflows",task,SA05-T01..T03,"Add Square CDC resources, replay/unknown-version behavior, session history and role terminal/Chat/diff/evidence references",compile-at-dispatch
SA05-T05,Deterministic fixture workflows and gate A5,SA05,"Session API, read models, events, and fake workflows",gate,SA05-T01..T04,Run fixture sessions matching blank/QUICK/PLANNED/blocked/completed/restart JSON; verify API/OpenAPI/TS parity and read-model recovery,compile-at-dispatch
SA06-T01,"Square identity, tokens, and reusable components",SA06,Rounded session-first desktop UI foundation,task,"A0,A2","Rebrand isolated surfaces; implement rounded light/dark/high-contrast tokens, statuses, buttons, tabs, composer, attention, dock headers, accessible components without changing AO generic behavior unnecessarily",compile-at-dispatch
SA06-T02,"Session navigator, tabs, filters, and New Session composer",SA06,Rounded session-first desktop UI foundation,task,"SA06-T01,A5 fixtures","Implement project/session list, Needs You/Active/Done/Archived, open tabs, blank composer, simple workflow/quality controls and expandable role setup",compile-at-dispatch
SA06-T03,Session conversation and workflow progression,SA06,Rounded session-first desktop UI foundation,task,SA06-T02,"Render durable messages/artifact summaries, follow-up composer, session header, relevant stage strip, authoritative pending/acknowledged states",compile-at-dispatch
SA06-T04,Dynamic Task Manager and role docks,SA06,Rounded session-first desktop UI foundation,task,"SA06-T02,T03","Render only existing roles; Task Manager structured timeline; Terminal/Chat/Diff/Evidence tabs; hierarchy, focus/collapse/splits, completed history, actual route/model",compile-at-dispatch
SA06-T05,Direct attention strip and authorized decisions,SA06,Rounded session-first desktop UI foundation,task,SA06-T03,Show exact problem/why/suggested solution/actions in affected session; approval/input/auth/blocker/route/plan/cancel flows without inspector-click maze,compile-at-dispatch
SA06-T06,"Plan & Review, History, and role-routing setup",SA06,Rounded session-first desktop UI foundation,task,"SA06-T03,T04",Task Brief/Plan/Acceptance/Diff/Findings/Evidence; workflow/role/terminal/decision history; Auto/Preferred/Pinned role controls and requested/actual mismatch,compile-at-dispatch
SA06-T07,"Layout persistence, performance, accessibility, and gate A6",SA06,Rounded session-first desktop UI foundation,gate,SA06-T01..T06,"Per-session versioned layouts, hidden-dock throttle, terminal sequence safety, virtualization, keyboard/a11y/200%/high-contrast, close/reopen fixture E2E",compile-at-dispatch
SA07-T01,Request intake and compact Task Brief,SA07,QUICK vertical slice and Core Alpha,task,A5,Compile explicit goal/outcome/scope/constraints/ambiguity/risk from session messages; material ambiguity creates interaction; bounded Secretary optional,compile-at-dispatch
SA07-T02,Deterministic triage and Dispatch Preview,SA07,QUICK vertical slice and Core Alpha,task,"SA07-T01,SA02-T05",Select QUICK or escalate using explicit dimensions; propose worker route/worktree/write scope/validation/approval/resource/cost confidence; owner edit/approve/deny,compile-at-dispatch
SA07-T03,QUICK task/role packet compiler,SA07,QUICK vertical slice and Core Alpha,task,SA07-T02,"Create one narrow task contract and Worker assignment with exact paths, baseline, validation, receipt, stop/escalation conditions; omit irrelevant roles/transcripts",compile-at-dispatch
SA07-T04,Task Manager QUICK state machine and AO worker launch,SA07,QUICK vertical slice and Core Alpha,task,"SA04,A3,SA07-T03","Persist workflow/task/role/binding, acquire lease, launch one AO worker, react to facts/interactions, end process at artifact boundary, no model monitor",compile-at-dispatch
SA07-T05,"Targeted validation, receipt, and local/PR result",SA07,QUICK vertical slice and Core Alpha,task,SA07-T04,"Run task-scoped checks, reconcile process/worktree/artifact/commit, apply receipt once, support LOCAL_RESULT first and optional PR_RESULT link",compile-at-dispatch
SA07-T06,QUICK desktop and CLI flow,SA07,QUICK vertical slice and Core Alpha,task,"SA06,A5,SA07-T05",New session → preview → start → worker dock → decision/cancel → validation/result/history; CLI parity and stable JSON/errors,compile-at-dispatch
SA07-T07,First real certified route and Alpha gate A7,SA07,QUICK vertical slice and Core Alpha,gate,"SA04-T02,T03,SA07-T06","Choose one installed route by evidence, run reversible disposable fixtures repeatedly, close/reopen desktop, restart daemon, verify no duplicate writer/session and complete evidence",compile-at-dispatch
SA08-T01,"Durable question, approval, permission, auth, blocker, and route interactions",SA08,"Interactions, controller authority, cancellation, and restart",task,A7,Map AO/adapter/lifecycle signals to typed Square interactions with bounded redacted evidence and designated authority,compile-at-dispatch
SA08-T02,"Response, approval-once, denial, amendment, and auth takeover",SA08,"Interactions, controller authority, cancellation, and restart",task,SA08-T01,Validate state/expiry/actor/generation; secrets remain with CLI; send exact PTY/controller action only after durable decision,compile-at-dispatch
SA08-T03,Interactive controller lease and multi-view behavior,SA08,"Interactions, controller authority, cancellation, and restart",task,SA08-T01,One controller across desktop/CLI/future VS Code; observers may coexist; transfer/expiry/reconnect/close semantics and visible VIEW/CONTROL states,compile-at-dispatch
SA08-T04,"Checkpoint, graceful cancellation, hard-stop gate, and safe cleanup",SA08,"Interactions, controller authority, cancellation, and restart",task,"SA08-T02,T03",Separate commands/authority; preserve worktree/receipt evidence; descendant cleanup; no priority preemption of active writer,compile-at-dispatch
SA08-T05,Startup reconciliation of Square sessions and AO bindings,SA08,"Interactions, controller authority, cancellation, and restart",task,"SA03,SA04,SA08-T04","Recover active workflows, interactions, leases, role/AO bindings, terminal histories, artifacts and receipts; never silently rerun ambiguous work",compile-at-dispatch
SA08-T06,UI closure/restart matrix and gate A8,SA08,"Interactions, controller authority, cancellation, and restart",gate,SA08-T01..T05,E2E across active/quiet/input/approval/auth/cancel/completing states; close/reopen Electron and daemon restart; no duplicate process/input/receipt,compile-at-dispatch
SA09-T01,"Memory records, schema, service, API, and lifecycle",SA09,Project/global memory and bounded context,task,A8,"Project/global/candidate/promotion/deprecated/superseded entries with provenance, evidence, applicability, confidence, owner state",compile-at-dispatch
SA09-T02,Candidate extraction and deduplication,SA09,Project/global memory and bounded context,task,SA09-T01,Derive bounded candidates from accepted results/fixes/human corrections; no automatic adoption; detect duplicate/conflict/stale evidence,compile-at-dispatch
SA09-T03,"Owner promotion, rejection, deprecation, and rollback",SA09,Project/global memory and bounded context,task,"SA09-T01,T02",Explicit authority and audit; global promotion from project candidate; preserve prior versions and supersession,compile-at-dispatch
SA09-T04,Context Scout jobs and cited Context Reports,SA09,Project/global memory and bounded context,task,"A8,SA09-T01","Read-only bounded question/path/command/snapshot jobs; path/symbol/range/hash citations, uncertainty/conflict, no raw transcript forwarding",compile-at-dispatch
SA09-T05,Context Pack compiler and cache compatibility,SA09,Project/global memory and bounded context,task,SA09-T04,"Deduplicate reports/memory, enforce size/token budget and authority/snapshot compatibility, produce CONTEXT_READY/BLOCKED artifact",compile-at-dispatch
SA09-T06,"Memory/context UI, CLI, and gate A9",SA09,Project/global memory and bounded context,gate,"SA06,SA09-T01..T05","Session/project memory views, candidates and promotion, context sources/citations; verify no transcript auto-memory and correct scope",compile-at-dispatch
SA10-T01,Secretary Task Brief compiler,SA10,PLANNED workflow and bounded orchestration,task,A9,Launch bounded optional Secretary only when deterministic intake needs it; validate artifact/ambiguity; end session immediately,compile-at-dispatch
SA10-T02,Context job scheduler and Context Pack readiness,SA10,PLANNED workflow and bounded orchestration,task,SA09-T05,"Dispatch bounded Scouts/read-only AO sessions, wait via durable events, handle missing/conflicting/stale reports and capacity without live coordinator model",compile-at-dispatch
SA10-T03,Planner role and Plan/Acceptance compiler,SA10,PLANNED workflow and bounded orchestration,task,"SA10-T01,T02","Fresh Planner receives Task Brief/Context Pack/authority only; validate DAG, scopes, criteria, budgets, stop/integration; end at artifact",compile-at-dispatch
SA10-T04,Orchestrator/Synthesizer role,SA10,PLANNED workflow and bounded orchestration,task,SA10-T03,"Fresh bounded synthesis for dispatch packets, conflict resolution proposals, amendments, integration strategy; cannot remain alive to supervise workers",compile-at-dispatch
SA10-T05,"Plan approval, amendment, and immutable binding",SA10,PLANNED workflow and bounded orchestration,task,"SA10-T03,T04",Owner/policy approval tied to exact plan/criteria/baseline/route hashes; changes invalidate approval and create amendment interaction,compile-at-dispatch
SA10-T06,"Dependency scheduler, worker assignments, and bounded handovers",SA10,PLANNED workflow and bounded orchestration,task,"SA10-T05,SA04","Ready tasks, writer/resource reservations, worktree/AO session launch, finite attempts, route change/handover, context thresholds, no duplicate wake",compile-at-dispatch
SA10-T07,PLANNED implementation/restart gate A10,SA10,PLANNED workflow and bounded orchestration,gate,SA10-T01..T06,Fake and first real multi-task fixture reaches deterministic verification with all role sessions ending at artifacts; restart preserves DAG/bindings,compile-at-dispatch
SA11-T01,Task/integration deterministic validation service,SA11,"Verification, independent review, findings, fix loop, and Square MVP",task,A10,"Run declared commands under scope/resource policy, capture structured output/evidence, fail before reviewer spend, distinguish task vs integration checks",compile-at-dispatch
SA11-T02,Review Packet compiler,SA11,"Verification, independent review, findings, fix loop, and Square MVP",task,SA11-T01,Bounded contract/plan/criteria/diff/evidence/authority/risk packet; exclude implementation transcript and irrelevant repository content,compile-at-dispatch
SA11-T03,Independent reviewer route selection and run,SA11,"Verification, independent review, findings, fix loop, and Square MVP",task,"SA04,SA11-T02","Enforce configured independence, launch fresh read-only reviewer, validate findings against criteria/commit, gate if unavailable",compile-at-dispatch
SA11-T04,Finding model and finite FIX task loop,SA11,"Verification, independent review, findings, fix loop, and Square MVP",task,SA11-T03,Severity/evidence/criterion/root cause/proposed bounded fix; separate FIX task/attempt; retry budget and new requirement/architecture gate,compile-at-dispatch
SA11-T05,"Final receipt, integration acceptance, outcome and memory candidates",SA11,"Verification, independent review, findings, fix loop, and Square MVP",task,SA11-T01..T04,Bind immutable commit/artifact/evidence/route/criteria; reconcile all worktrees/roles; create outcome evaluation seed and non-adopted memory candidates,compile-at-dispatch
SA11-T06,Square MVP gate A11,SA11,"Verification, independent review, findings, fix loop, and Square MVP",gate,"SA07,A8,A9,A10,SA11-T01..T05","Real QUICK and PLANNED through one certified route, typed interaction, memory/context, independent review or explicit owner gate, repair, restart, retained history",compile-at-dispatch
SA12-T01,Global/project/session/task role-profile resolution,SA12,"Role-routing UX, route plurality, CLI, and optional VS Code",task,A11,"Persist/edit profiles and presets; deterministic precedence, policy overrides, route decision history, settings UI and CLI",compile-at-dispatch
SA12-T02,AUTO/PREFERRED/PINNED Dispatch Preview and role-dock UX,SA12,"Role-routing UX, route plurality, CLI, and optional VS Code",task,"SA12-T01,SA06","Show requested/resolved/actual, availability/certification, fallback, permissions, independence; pinned fail closed; active change creates new attempt",compile-at-dispatch
SA12-T03,Expanded adapter conformance and additional certified routes,SA12,"Role-routing UX, route plurality, CLI, and optional VS Code",task,"SA04,A11","Certify installed AO adapters incrementally for model forwarding, identity, permissions, lifecycle, Windows cleanup; unavailable routes do not block others",compile-at-dispatch
SA12-T04,Complete `square` CLI and stable JSON/exit codes,SA12,"Role-routing UX, route plurality, CLI, and optional VS Code",task,A11,Session/workflow/role/interaction/route/memory/events/doctor commands over daemon API; no direct storage/runtime; redirection and noninteractive behavior,compile-at-dispatch
SA12-T05,Minimal VS Code client and cross-client consistency,SA12,"Role-routing UX, route plurality, CLI, and optional VS Code",task,SA12-T04,"Extension host uses API/SSE, session tree/tabs/status/commands, validated webview if used; closing VS Code harmless; no direct terminal/DB authority",compile-at-dispatch
SA12-T06,Client/route gate A12,SA12,"Role-routing UX, route plurality, CLI, and optional VS Code",gate,SA12-T01..T05,Desktop/CLI/VS Code where implemented show same event/interaction/result; route profiles work across roles; actual identity honest,compile-at-dispatch
SA13-T01,Usage and model-family exposure ledger,SA13,"Exposure, cost, resource profiles, context reuse, and evaluation",task,A11,"Provider tokens or labelled estimates, normalized exposure by role/model family/project/window/confidence; context pressure separate",compile-at-dispatch
SA13-T02,Actual/equivalent/subscription cost schedules,SA13,"Exposure, cost, resource profiles, context reuse, and evaluation",task,SA13-T01,Dated source/currency/rates/billing mode/confidence; never show subscription as free or merge cost with exposure,compile-at-dispatch
SA13-T03,FAST/NORMAL/SLOW resource and scheduler policy,SA13,"Exposure, cost, resource profiles, context reuse, and evaluation",task,A11,Role/concurrency/validation/retention/cache behavior with explicit owner policy; release model sessions before cooldown/wait,compile-at-dispatch
SA13-T04,Snapshot-aware repository index and Context Pack cache,SA13,"Exposure, cost, resource profiles, context reuse, and evaluation",task,SA09,"Content-addressed commit/path/symbol index, incremental invalidation, shared Scout snapshot, compatibility/provenance and bounded storage",compile-at-dispatch
SA13-T05,"Buffered persistence, retention, and resource telemetry",SA13,"Exposure, cost, resource profiles, context reuse, and evaluation",task,"SA03,A11","Batch noncritical writes, debounce layouts, terminal chunks, WAL/checkpoint measurement, volume/process I/O and honest unsupported telemetry",compile-at-dispatch
SA13-T06,Outcome evaluation and sustained-operation gate A13,SA13,"Exposure, cost, resource profiles, context reuse, and evaluation",gate,"SA11,SA13-T01..T05",Cohorted acceptance/findings/retries/human corrections/time/tokens/cost/exposure/I/O; sample/confidence; measured performance and storage safety,compile-at-dispatch
SA14-T01,Threat model and automated security closure,SA14,"Security, diagnostics, packaging, updater, and upstream sync",task,A12,"Loopback API, Electron preload, terminal escapes, prompt injection, path/reparse escape, executable replacement, receipt spoofing, secrets, updater, diagnostics, skills",compile-at-dispatch
SA14-T02,Local API and Electron bridge hardening,SA14,"Security, diagnostics, packaging, updater, and upstream sync",task,SA14-T01,"Decide/add install capability token, origin/CORS/loopback rules, allow-listed preload methods, schema validation, rate/bounds, terminal-output isolation",compile-at-dispatch
SA14-T03,Privacy-safe doctor and support bundle,SA14,"Security, diagnostics, packaging, updater, and upstream sync",task,SA14-T01,"Versions, daemon/data/migrations/routes/worktrees/bindings/terminal/updater checks; allow-listed redacted manifest shown before export",compile-at-dispatch
SA14-T04,"Square Windows identity, installer, data migration, and coexistence",SA14,"Security, diagnostics, packaging, updater, and upstream sync",task,A12,"Product/executable/app ID/paths/protocols/notifications/icons/attribution; non-admin install, spaces/Unicode, coexistence with AO, retain/remove state choice",compile-at-dispatch
SA14-T05,"Square updater, live-work gate, backup, rollback",SA14,"Security, diagnostics, packaging, updater, and upstream sync",task,SA14-T04,"Own release feed/signature/checksums; stop new dispatch, checkpoint/reconcile, backup/migrate, replace/restart/validate, rollback when schema compatible; never kill work merely to update",compile-at-dispatch
SA14-T06,"Upstream-sync automation, migration/API drift, SBOM and notices",SA14,"Security, diagnostics, packaging, updater, and upstream sync",task,A12,"Controlled intake branch, changelog/diff, generated-code/migration conflict checks, full regression, exact upstream ledger, SBOM/license/NOTICE",compile-at-dispatch
SA14-T07,Windows release gate A14,SA14,"Security, diagnostics, packaging, updater, and upstream sync",gate,SA14-T01..T06,"Clean install/upgrade/rollback/uninstall, QUICK/PLANNED E2E, security/lifecycle/recovery, signed/checksummed artifacts where available, known limitations",compile-at-dispatch
SA15-T01,Parallel read-only Scouts and specialists,SA15,Optional advanced scale and controlled practice evolution,task,A14,"One pinned snapshot, shared index/resource reservations, deterministic result collection, no shared mutable plan",compile-at-dispatch
SA15-T02,Parallel isolated writer worktrees and merge queue,SA15,Optional advanced scale and controlled practice evolution,task,SA15-T01,"Nonoverlap preflight, one lease/worktree per writer, ordered integration, combined validation, conflict gate, measured resource/cost burden",compile-at-dispatch
SA15-T03,Automatic bounded fix dispatch,SA15,Optional advanced scale and controlled practice evolution,task,"SA11,A14","Only accepted narrow findings, unchanged acceptance, eligible route, finite retry; no new architecture/security/requirement decision",compile-at-dispatch
SA15-T04,Controlled practice evolution and scale gate A15,SA15,Optional advanced scale and controlled practice evolution,gate,"SA13,SA15-T01..T03",Outcome evidence proposes trial/adoption/deprecation; owner controls policy; enable scale only if end-to-end benefit exceeds merge/resource/review/recovery cost,compile-at-dispatch
